Aziende_nel_Database;Settore;ATECO;Attivita;Regioni;N_uomini_dipendenti;N_donne_dipendenti;Donne_nel_CdA_(%);Donne_in_posizioni_manageriali_di_vertice_(%);Disuguaglianza_salariale_di_genere_(%);Eta_media_dipendenti_(%);Dipendenti_con_eta_30_per;Dipendenti_con_eta_30_50_per;Dipendenti_con_eta_50_per;Eta_media_in_CdA_(%);Membri_del_CdA_con_eta_30_per;Membri_del_CdA_con_eta_30_50_per;Membri_del_CdA_con_eta_50_per
BANCA POPOLARE DI PUGLIA E BASILICATA;Banks;641910;;Puglia;603.0;424.0;333.0;3.0;;;7.0;548.0;445.0;556.0;0.0;0.0;100.0
BANCA POPOLARE PUGLIESE;Banks;641910;;Puglia;469.0;299.0;1905.0;;;;38.0;439.0;523.0;;0.0;1429.0;8571.0
BANCA SELLA;Banks;641910;;Piemonte;2840.0;2415.0;308.0;29.0;;43.0;1578.0;5808.0;2615.0;;0.0;0.0;100.0
BANCA VALSABBINA;Banks;641910;;Lombardia;544.0;242.0;20.0;0.0;;4283.0;852.0;7137.0;201.0;;;;
BANCO BPM;Banks;641910;;Lombardia;10822.0;9332.0;40.0;26.0;84.0;49.0;;;;;0.0;13.0;87.0
BANCO DI DESIO E DELLA BRIANZA;Banks;641910;;Lombardia;1247.0;847.0;45.0;;100.0;;;;;;27.0;73.0;0.0
BASIC NET;Services;774000;;Piemonte;359.0;602.0;36.0;2903.0;;;34.0;51.0;15.0;487.0;7.0;28.0;65.0
BE SHAPING THE FUTURE SPA (ex BE THINK, SOLVE, EXECUTE SPA/Gruppo Be);Services;642000;;Lazio;;;20.0;;;;;;;;;;
BEGHELLI;Electronics;279009;;Emilia Romagna;445.0;585.0;42.0;19.0;;;4.0;66.0;30.0;51.0;0.0;417.0;583.0
BIALETTI INDUSTRIE SPA;Manufacturing;259919;;Lombardia;287.0;739.0;44.0;19.0;778571428571429.0;;12280701754386.0;700779727095517.0;176413255360624.0;;0.0;22.0;78.0
BENETTON GROUP;Textile;469000;;Veneto;1513.0;5018.0;16.0;;984.0;;3377.0;5317.0;1355.0;;0.0;;
BIESSE SPA;Machine and Plant;284000;;Marche;3172.0;494.0;428.0;;;;1184.0;5939.0;2752.0;;0.0;14.0;86.0
BPER;Banks;641910;;Emilia Romagna;11296.0;9819.0;53.0;2077.0;876666666666667.0;;4.0;55.0;41.0;;0.0;20.0;80.0
BREMBO;Automotive;293209;;Lombardia;10665.0;2291.0;454545454545455.0;1478.0;;3918.0;246.0;3091.0;1571.0;645.0;0.0;0.0;100.0
BRUNELLO CUCINELLI;Textile;143900;;Umbria;902.0;1570.0;45.0;;866363636363636.0;39.0;15.0;61.0;24.0;46.0;0.0;36.0;64.0
BUZZI UNICEM;Construction and Engineering;494100;;Piemonte;8139.0;1347.0;;114.0;;;12.0;50.0;38.0;;;;
CA AUTO BANK SPA (da vedere bene in quanto ;Banks;641910;;Piemonte;1069.0;978.0;43.0;37.0;;;9.0;55.0;36.0;;;;
CAIRO COMMUNICATION;Media and Publishing;731200;;Lombardia;2110.0;1750.0;33.0;1935.0;8225.0;;3.0;47.0;50.0;585.0;0.0;10.0;90.0
CALTAGIRONE;Construction and Engineering;701000;;Lazio;2705.0;416.0;4545.0;975.0;;;1166.0;5341.0;3492.0;;0.0;27.0;73.0
CAP;Utilities;360000;;Lombardia;625.0;262.0;60.0;25.0;908333333333333.0;;631.0;5682.0;3686.0;;0.0;60.0;40.0
CAREL INDUSTRIES SPA;Electronics;279009;;Veneto;1254.0;752.0;57.0;78.0;;427.0;153.0;628.0;219.0;;0.0;29.0;71.0
CARRARO;Machine and Plant;281510;;Veneto;2448.0;320.0;1428.0;67.0;836666666666667.0;42.0;14.0;65.0;21.0;;0.0;14.0;86.0
CASSA CENTRALE BANCA CREDITO COOPERATIVO ITALIANO S.P.A.;Banks;641910;;Trentino-Alto Adige;6750.0;4952.0;33.0;615.0;;45.0;79.0;586.0;335.0;;0.0;66.0;933.0
CASSA CENTRALE RAIFFEISEN DELL ALTO ADIGE SPA;Banks;641910;;Trentino-Alto Adige;126.0;111.0;11.0;17.0;896666666666667.0;444.0;16.0;41.0;43.0;;0.0;11.0;89.0
CASSA DEPOSITI E PRESTITI;Financial Services;641940;;Lazio;892.0;699.0;36.0;26.0;786.0;;1376.0;6555.0;2067.0;55.0;;;
CASSA DI RISPARMIO DI ASTI;Banks;641910;;Piemonte;747.0;1064.0;0.0;14.0;;;1159.0;50.0;3837.0;;0.0;10.0;90.0
CASSA DI RISPARMIO DI BOLZANO;Banks;641910;;Trentino-Alto Adige;970.0;919.0;33.0;1851.0;90.0;4454.0;13.0;52.0;35.0;;0.0;33.0;67.0
CEMBRE;Electronics;279009;;Lombardia;567.0;189.0;50.0;83.0;;;14.0;56.0;30.0;;0.0;25.0;75.0
CEMENTIR HOLDING;Machine and Plant;642000;;Lazio;2705.0;416.0;40.0;1829.0;;;10.0;54.0;36.0;;0.0;40.0;60.0
CERVED GROUP ;Financial Services;701000;;Lombardia;1147.0;1692.0;40.0;14.0;;;12.0;67.0;21.0;;;;80.0
CIR;Automotive;701000;;Lombardia;6327.0;10415.0;55.0;50.0;81.0;;15.0;51.0;34.0;;;;
CLN GROUP SPA;Steel;241000;;Piemonte;5753.0;965.0;33.0;;;;9.0;54.0;37.0;;11.0;11.0;78.0
CNS ;Services;812100;;Emilia Romagna;34.0;68.0;;22.0;;;4.0;25.0;71.0;;;;
COMER INDUSTRIES;Construction and Engineering;281510;;Emilia Romagna;2886.0;357.0;11.0;;906666666666667.0;;;;;;0.0;37.0;63.0
COMPAGNIA VALDOSTANA DELLE ACQUE SPA COMPAGNIE VALDOTAINE DES EAUX SPA;Energy;351100;;Valle dAosta;476.0;167.0;40.0;0.0;99205.0;;6.0;68.0;26.0;;0.0;60.0;40.0
CONCESSIONI AUTOSTRADALI VENETE - CAV SPA;Services;522120;;Veneto;168.0;46.0;60.0;0.0;;;0.0;47.0;53.0;;;;
CREDIT AGRICOLE ITALIA SPA;Banks;641910;;Emilia-Romagna;6519.0;6152.0;13.0;31.0;;;72.0;495.0;433.0;;0.0;1698.0;8302.0
CREDEM;Banks;641910;;Emilia Romagna;4090.0;2586.0;50.0;105.0;;;118.0;526.0;356.0;;0.0;8.0;92.0
CSP INTERNATIONAL FASHION GROUP SPA;Textile;143100;;Lombardia;230.0;398.0;40.0;23.0;848.0;;68.0;277.0;654.0;;0.0;40.0;60.0
DATALOGIC;Electronics;279009;;Emilia Romagna;1857.0;1212.0;50.0;;;;155.0;571.0;274.0;63.0;0.0;25.0;75.0
DE LONGHI;Electronics;642000;;Veneto;4192.0;4363.0;45.0;9.0;;;149.0;625.0;225.0;;0.0;9.0;91.0
DIASORIN;Healthcare and Pharma;211000;;Piemonte;1930.0;1456.0;40.0;27.0;90.0;;1222.0;5912.0;2864.0;;;;
DOLOMITI ENERGIA HOLDING SPA;Energy;351400;;Trentino-Alto Adige;1111.0;313.0;42.0;17.0;;4529.0;1046.0;4999.0;3953.0;;;;
DO VALUE (ex Do Bank);Financial Services;829110;;Lombardia;1263.0;1744.0;40.0;2945.0;;;485.0;7096.0;2417.0;;0.0;30.0;70.0
E.S.TR.A. SPA;Energy;701000;;Toscana;544.0;309.0;2073.0;166.0;;355.0;44.0;533.0;422.0;56.0;0.0;2317.0;7682.0
EDISON;Energy;701000;;Lombardia;4619.0;1199.0;40.0;19.0;;;7.0;54.0;39.0;;;;
EI TOWERS;Telecommunications;263000;;Lombardia;411.0;100.0;10.0;5.0;;;97.0;276.0;7142.0;;0.0;20.0;80.0
EL.EN.;Electronics;266002;;Toscana;1628.0;477.0;43.0;9375.0;;;247.0;6157.0;1373.0;;0.0;0.0;100.0
ELICA;Electronics;279009;;Marche;1408.0;1170.0;42.0;12.0;;;20.0;52.0;28.0;;;;
EMAK;Machine and Plant;282400;;Emilia Romagna;1491.0;793.0;46.0;;;;15.0;57.0;28.0;;0.0;30.0;70.0
ENAV;Logistics and Transport;522300;;Lazio;3333.0;852.0;44.0;1.0;;;5901.0;117.0;292.0;;0.0;33.0;67.0
ENEL;Energy;701000;;Lazio;49899.0;15225.0;44.0;25.0;;436.0;131.0;565.0;304.0;;0.0;11.0;89.0
ENI;Oil and Gas;352300;;Lazio;22949.0;8427.0;44.0;285.0;;451.0;88.0;567.0;344.0;;0.0;22.0;78.0
ERG;Energy;701000;;Liguria;404.0;169.0;42.0;183.0;95.0;42.0;13.0;67.0;21.0;55.0;0.0;16.0;84.0
ESPRINET;Retailers;465100;;Lombardia;824.0;982.0;55.0;3043.0;76.0;;1544.0;6679.0;1777.0;;;;
ESSELUNGA (dnf reperibile solo online);Food and Beverage;471120;;Lombardia;13790.0;11283.0;33.0;;;41.0;;;;;;;
EUROGROUP LAMINATIONS SPA;Manufacturing;701;;Lombardia;1754.0;554.0;20.0;11.0;;;26.0;52.0;23.0;;0.0;20.0;80.0
EXPRIVIA SPA;Services;620100;;Puglia;1518.0;878.0;4285.0;1481.0;;;168.0;629.0;2028.0;;;;
F.I.L.A.;Manufacturing;329930;;Lombardia;5491.0;5771.0;42.0;;;;5237.0;3886.0;875.0;5928.0;0.0;0.0;100.0
FCA (ora stellantis);Banks;641910;;Piemonte;209051.0;54881.0;2727.0;22.0;94.0;;1424.0;5315.0;326.0;;;;
FERALPI HOLDING SPA;Steel;701000;;Lombardia;1685.0;171.0;25.0;;;;1422.0;4887.0;3691.0;;0.0;12.0;88.0
FERROVIE DELLO STATO ITALIANE;Logistics and Transport;701000;;Lazio;68289.0;17072.0;42.0;2532.0;;42.0;233.0;448.0;318.0;;0.0;14.0;86.0
FIERA MILANO;Services;823000;;Lombardia;265.0;347.0;5555.0;10.0;98.0;;85.0;4755.0;4395.0;;0.0;12.0;88.0
